source,source_tier,slice_dimension,slice_name,raw_rows_proxy_unique_raw_ids_in_labeled_slice,labeled_rows,persona_core_rows,denominator_eligible_rows,technical_support_noise_excluded_rows,ambiguous_rows,business_non_core_rows,adjusted_evidence_rows,persona_core_ratio,adjusted_core_ratio,persona_contribution_top,weak_source_contribution,dominant_noncore_category
adobe_analytics_community,supporting_validation_source,source_specific_url_text_proxy,workspace_reporting,214,215,63,202,3,106,33,212,0.293,0.2972,persona_01:51 | persona_04:10,mixed,ambiguous_review_bucket
adobe_analytics_community,supporting_validation_source,source_specific_url_text_proxy,other_operational,185,185,33,136,46,78,25,139,0.1784,0.2374,persona_01:27 | persona_04:3,mixed,ambiguous_review_bucket
adobe_analytics_community,supporting_validation_source,source_specific_url_text_proxy,metric_reconciliation,81,83,45,76,6,12,19,77,0.5422,0.5844,persona_01:36 | persona_04:5,evidence-producing,denominator_eligible_business_non_core
adobe_analytics_community,supporting_validation_source,source_specific_url_text_proxy,implementation_tracking,82,82,24,69,7,36,9,75,0.2927,0.32,persona_01:21 | persona_04:2,mixed,ambiguous_review_bucket
adobe_analytics_community,supporting_validation_source,source_specific_url_text_proxy,api_admin_config,79,80,31,78,2,46,1,78,0.3875,0.3974,persona_01:29 | persona_04:1,mixed,ambiguous_review_bucket
domo_community_forum,exploratory_edge_source,source_specific_url_text_proxy,card_report_delivery,379,379,43,240,122,163,34,257,0.1135,0.1673,persona_01:33 | persona_02:6,debt-producing,ambiguous_review_bucket
domo_community_forum,exploratory_edge_source,source_specific_url_text_proxy,etl_dataset_config,341,341,36,119,203,67,16,138,0.1056,0.2609,persona_01:26 | persona_04:5,debt-producing,server_deploy_config_noise
domo_community_forum,exploratory_edge_source,source_specific_url_text_proxy,other_operational,162,162,22,43,107,18,3,55,0.1358,0.4,persona_01:20 | persona_06:2,debt-producing,server_deploy_config_noise
domo_community_forum,exploratory_edge_source,source_specific_url_text_proxy,beast_mode_formula,138,138,11,44,65,23,10,73,0.0797,0.1507,persona_01:6 | persona_04:2,debt-producing,source_specific_support_noise
domo_community_forum,exploratory_edge_source,source_specific_url_text_proxy,filtering_logic,24,24,0,2,22,1,1,2,0.0,0.0,,debt-producing,server_deploy_config_noise
google_developer_forums,supporting_validation_source,source_specific_url_text_proxy,report_delivery_ui,453,456,155,413,1,255,3,455,0.3399,0.3407,persona_01:113 | persona_04:27,mixed,ambiguous_review_bucket
google_developer_forums,supporting_validation_source,source_specific_url_text_proxy,sharing_permissions_delivery,109,110,41,81,8,38,2,102,0.3727,0.402,persona_01:30 | persona_04:7,evidence-producing,ambiguous_review_bucket
google_developer_forums,supporting_validation_source,source_specific_url_text_proxy,other_operational,102,103,8,28,54,7,13,49,0.0777,0.1633,persona_04:6 | persona_02:2,debt-producing,server_deploy_config_noise
google_developer_forums,supporting_validation_source,source_specific_url_text_proxy,report_logic_and_filters,97,99,39,71,11,30,2,88,0.3939,0.4432,persona_01:23 | persona_04:12,evidence-producing,ambiguous_review_bucket
google_developer_forums,supporting_validation_source,source_specific_url_text_proxy,api_auth_setup,41,44,9,15,7,6,0,37,0.2045,0.2432,persona_01:7 | persona_06:1,evidence-producing,setup_auth_permission_noise
klaviyo_community,excluded_from_deck_ready_core,source_specific_url_text_proxy,revenue_reporting,79,79,78,79,0,0,1,79,0.9873,0.9873,persona_01:50 | persona_04:16,evidence-producing,denominator_eligible_business_non_core
klaviyo_community,excluded_from_deck_ready_core,source_specific_url_text_proxy,segment_flow_logic,26,26,23,23,3,0,0,23,0.8846,1.0,persona_02:11 | persona_04:7,evidence-producing,server_deploy_config_noise
klaviyo_community,excluded_from_deck_ready_core,source_specific_url_text_proxy,other_operational,5,5,2,2,2,0,0,3,0.4,0.6667,persona_04:2,debt-producing,source_specific_support_noise
