episode_id,source,source_tier,current_category,reviewed_category,business_context_present,technical_support_noise_present,ambiguity,reason,example_text_excerpt,persona_id,labelability_status
stackoverflow::76919382::01,stackoverflow,supporting_validation_source,generic_low_signal,denominator_eligible_business_non_core,yes,yes,no,"business=2, technical=10, strong=0, source=stackoverflow, labelability=low_signal",my authorization app returns false even though I entered the data correctly <p>I am using laravel passport. it supposed to check whether it matches by comparing the email and password data received from the user via html with the email and password data I saved in the database...,,low_signal
stackoverflow::79003636::01,stackoverflow,supporting_validation_source,generic_low_signal,syntax_formula_debug_noise,yes,yes,no,"business=1, technical=3, strong=0, source=stackoverflow, labelability=low_signal",How to reduce the required storage space for large indexes and large PostgreSQL tables to improve and ensure performance? <p><strong>The Situation (updated):</strong></p> <p>I have 3 PostgreSQL tables (PostgreSQL Version 14.9) that are used to store sensor data from currently...,,low_signal
stackoverflow::76905241::01,stackoverflow,supporting_validation_source,generic_low_signal,syntax_formula_debug_noise,no,yes,no,"business=0, technical=4, strong=0, source=stackoverflow, labelability=low_signal","How to unnest two or more postgres arrays from a CTE <p>From the <a href=""https://www.postgresql.org/docs/current/functions-array.html#ARRAY-FUNCTIONS-TABLE"" rel=""nofollow noreferrer"">array-functions docs</a>:</p> <p><code>unnest ( anyarray, anyarray [, ... ] ) → setof anyelem...",,low_signal
stackoverflow::70363416::01,stackoverflow,supporting_validation_source,generic_low_signal,syntax_formula_debug_noise,yes,yes,no,"business=1, technical=4, strong=0, source=stackoverflow, labelability=low_signal",How can I filter by calculated field without using groups in tableau? <p>So I am working on a Tableau Dashboard. On the worksheet I'm working on I had to create 50-75 calculated fields. Now I am running into an issue where I dont know how to group all the calculated fields as...,,low_signal
stackoverflow::76608214::01,stackoverflow,supporting_validation_source,generic_low_signal,syntax_formula_debug_noise,no,yes,no,"business=0, technical=3, strong=0, source=stackoverflow, labelability=low_signal",populate a query with information from a different mysql table <p>team1id and team2id should link with teamId from another table and populate the query as teamName. The intended query result should look like select * from matches but populated by teamName in the result. Having...,,low_signal
stackoverflow::72365432::01,stackoverflow,supporting_validation_source,generic_low_signal,syntax_formula_debug_noise,yes,yes,no,"business=1, technical=6, strong=0, source=stackoverflow, labelability=low_signal","how to group by data based on multiple columns then merge rows with same values in SQL <p>I have a table as below :</p> <pre><code>DECLARE @t1 TABLE ( Country VARCHAR(MAX) NOT NULL, AccountName VARCHAR(MAX) NOT NULL, DealReference VARCHAR(MAX), [Probability 0%] INT, [Probabili...",,low_signal
stackoverflow::69187501::01,stackoverflow,supporting_validation_source,generic_low_signal,syntax_formula_debug_noise,no,yes,no,"business=0, technical=5, strong=0, source=stackoverflow, labelability=low_signal","PostgreSQL. Is such function vulnerable to SQL injection or is it safe? <h2>Functions that looks problematic</h2> <p>I'm exploring postgresql database and I see a recurring pattern:</p> <pre class=""lang-sql prettyprint-override""><code>CREATE OR REPLACE FUNCTION paginated_class...",,low_signal
stackoverflow::75383579::01,stackoverflow,supporting_validation_source,generic_low_signal,syntax_formula_debug_noise,no,yes,no,"business=0, technical=2, strong=0, source=stackoverflow, labelability=low_signal","Possible to count number of occurrences in a &quot;group&quot; in MySQL? <p>Sorry if the title is misleading, I don't really know the terminology for what I want to accomplish. But let's consider this table:</p> <pre><code>CREATE TABLE entries ( id INT NOT NULL, number INT NOT...",,low_signal
stackoverflow::72963568::01,stackoverflow,supporting_validation_source,generic_low_signal,syntax_formula_debug_noise,no,yes,no,"business=0, technical=7, strong=0, source=stackoverflow, labelability=low_signal",Print from an object to a Sheet with VBA <p>I'm totally new to VBA and i never coded anything similar. Anyway i'm not having any troubles with the logic and the code itself so i'm gonna post just a piece of my code to explain my question. I have this two For that get my data f...,,low_signal
stackoverflow::67032415::01,stackoverflow,supporting_validation_source,generic_low_signal,syntax_formula_debug_noise,yes,yes,no,"business=1, technical=6, strong=0, source=stackoverflow, labelability=low_signal",MYSQL query slow SELECT DISTINCT <p>I want to output the most used search items of my classifieds of the last 3 days</p> <p>I have an extra table where I save all search items together with the day and a counter which increments if the search is used again (and for future use...,,low_signal
stackoverflow::73860153::01,stackoverflow,supporting_validation_source,generic_low_signal,syntax_formula_debug_noise,no,yes,no,"business=0, technical=4, strong=0, source=stackoverflow, labelability=low_signal","Duplicated values in mysql/php/json array output joining 3 tables <p>I swear I tried everything I could but with no success, I read every answer in the whole platform but I can't get rid of duplicates (or loop repetitions)</p> <p><strong>My tables are:</strong></p> <p><em>item...",,low_signal
stackoverflow::75682256::01,stackoverflow,supporting_validation_source,generic_low_signal,syntax_formula_debug_noise,yes,yes,no,"business=1, technical=3, strong=0, source=stackoverflow, labelability=low_signal","How to filter SQL select query where a column matches a value, or if not found, a secondary default value <p>Let's say I have a table of events:</p> <pre><code>id bigint NOT NULL PRIMARY KEY, tenant_id CHARACTER VARYING(50) NOT NULL, name CHARACTER VARYING(100) NOT NULL, code...",,low_signal
stackoverflow::76532260::01,stackoverflow,supporting_validation_source,generic_low_signal,syntax_formula_debug_noise,no,yes,no,"business=0, technical=3, strong=0, source=stackoverflow, labelability=low_signal",SQL - failed criteria with multiple &lt;&gt; <p>It's probably something very basic I'm missing. This is the scenario:</p> <h3>TABLE</h3> <ul> <li>t1</li> </ul> <h3>COLUMNS:</h3> <ul> <li>id (UUID)</li> <li>id_e (UUID)</li> <li>category (VARCHAR)</li> </ul> <pre><code>SELECT CO...,,low_signal
stackoverflow::67444032::01,stackoverflow,supporting_validation_source,generic_low_signal,generic_low_signal,no,yes,no,"business=0, technical=1, strong=0, source=stackoverflow, labelability=low_signal","Why laravel select and group by return same value <p>I try to select count and group with Laravel query, but they are return same value with different field.</p> <p>This is my code:</p> <pre class=""lang-php prettyprint-override""><code>$kategoris = ['NUK', 'Hubkel', 'Sta_kawin'...",,low_signal
stackoverflow::79852930::01,stackoverflow,supporting_validation_source,generic_low_signal,ambiguous_review_bucket,yes,yes,yes,"business=2, technical=4, strong=0, source=stackoverflow, labelability=low_signal","CALCULATETABLE inside SWITCH in DAX <p>I have written the following DAX Measure:</p> <pre><code>Source Total Revenue - All Revenue - COSStoRevenue = SUMX( VALUES('Date Table'[Year Month]), VAR IndST = SELECTEDVALUE('Individual Cost'[Cost Type]) VAR personnelNumbers = SWITCH( T...",,low_signal
stackoverflow::76112787::01,stackoverflow,supporting_validation_source,generic_low_signal,syntax_formula_debug_noise,no,yes,no,"business=0, technical=3, strong=0, source=stackoverflow, labelability=low_signal","How to get the diff of dates of different rows, based on some common values on each row? <p>maybe somebody can help starting to solve this topic. I have a table with &gt;20k rows with the following columns, it is a log table that manages the information of changes on log lvl:<...",,low_signal
