episode_id,source,source_slice_name,current_source_slice_category,reviewed_slice_category,business_context_present,technical_support_context_present,denominator_eligibility_category,persona_core_eligible,likely_persona_contribution,reason,text_excerpt
google_developer_forums::115795::01,google_developer_forums,report_delivery_ui,mixed_evidence_slice,mixed_keep,True,True,ambiguous_review_bucket,False,persona_01/persona_04 adjacent,Google row stays mixed because it is report-delivery/UI oriented but not cleanly strong evidence or clean debt.,"LookML cannot parse Liquid Hi Looker team, Database Dialect: BigQuery Context: We build the SQL-based derived tables. In the SQL, there are some liquid syntax involved. For example: {% parameter ghp_trade.CME_open_time %} where {% incrementcondition %} created_at {% endincreme..."
google_developer_forums::165581::01,google_developer_forums,report_delivery_ui,mixed_evidence_slice,mixed_keep,True,False,ambiguous_review_bucket,False,persona_01/persona_04 adjacent,Google row stays mixed because it is report-delivery/UI oriented but not cleanly strong evidence or clean debt.,"How to set up interactions between different elements of your dashboard in Looker Studio Hello All, In Google Looker (Looker Studio), can any one suggest how to set up interactions between different elements of my dashboard, such as a summary count card and a detailed data tab..."
google_developer_forums::188481::01,google_developer_forums,report_delivery_ui,mixed_evidence_slice,evidence_producing,True,False,persona_core_evidence,True,likely persona_01/persona_04,"Google mixed row points to reporting delivery, data mismatch, or dashboard behavior with clear business-use impact.","Looker Studio - Down Hola! Vamos todo el día intentando generar nuestros reportes y el looker no carga los dashboard, no se procesa la información y no podemos exportar la data de forma urgente, ayuda! Hola! Vamos todo el día intentando generar nuestros reportes y el looker no..."
google_developer_forums::109297::01,google_developer_forums,report_delivery_ui,mixed_evidence_slice,evidence_producing,True,True,ambiguous_review_bucket,False,likely persona_01/persona_04,"Google mixed row points to reporting delivery, data mismatch, or dashboard behavior with clear business-use impact.",Youtube Content Owner Data Transfer Service permissions error Hello! I am trying to set up a Youtube Content Owner Report DTS in BigQuery and having some issues with authorization and hoping someone can shed some light on what could be going wrong. For background: I am pulling...
google_developer_forums::191284::01,google_developer_forums,report_delivery_ui,mixed_evidence_slice,mixed_keep,True,False,ambiguous_review_bucket,False,persona_01/persona_04 adjacent,Google row stays mixed because it is report-delivery/UI oriented but not cleanly strong evidence or clean debt.,Zoom area not working geo chart JurreShopForwar_0-1749569146294.png 382×378 14.5 KB The zoom area functionality is not working anymore. Usually when building dashboards I use the same graph and insert Netherlands as zoom area. This results in the map being zoomed in on the Net...
google_developer_forums::265958::01,google_developer_forums,report_delivery_ui,mixed_evidence_slice,evidence_producing,True,False,ambiguous_review_bucket,False,likely persona_01/persona_04,"Google mixed row points to reporting delivery, data mismatch, or dashboard behavior with clear business-use impact.","Incorrect totals in table - bug we have a dashboard with two tables 1.) summary - this is fine 2.) with a drill down - has a bug As you can see in our first screen shot, the 2nd chart jumbles up the values so the totals don’t match between the two c… we have a dashboard with t..."
google_developer_forums::156768::01,google_developer_forums,report_delivery_ui,mixed_evidence_slice,debt_producing,True,True,ambiguous_review_bucket,False,unlikely,Google mixed row is mostly auth/API/server/formula troubleshooting rather than durable reporting evidence.,"no cargar mi dashboard genera problemas tengo mi base looker studio por el conector de SQL Server hacia una vista de mi BD pero me genera este problema estoy ocupando el plugin de Extract Data empezó bien sin problema funcionaba super bien, pero hace unos días atrás ya no real..."
google_developer_forums::113681::01,google_developer_forums,report_delivery_ui,mixed_evidence_slice,mixed_keep,True,True,ambiguous_review_bucket,False,persona_01/persona_04 adjacent,Google row stays mixed because it is report-delivery/UI oriented but not cleanly strong evidence or clean debt.,"Swap dashboard tiles with extension framework Just getting started with Extension Framework, and trying out the different samples. I’m in particular trying to gain performance advantages with custom filters and swapping tiles on dynamic dashboards as Daniel and Luka demonstrat..."
google_developer_forums::152542::01,google_developer_forums,report_delivery_ui,mixed_evidence_slice,evidence_producing,True,True,ambiguous_review_bucket,False,likely persona_01/persona_04,"Google mixed row points to reporting delivery, data mismatch, or dashboard behavior with clear business-use impact.",Looker Studio Schedule Delivery has Error I am setting up schedule delivery of my Looker studio report but the email I get shows an Error. Data Set Configuration Error Looker Studio cannot connect to your data set. Do you know why this is happening? I set t… I am setting up sc...
google_developer_forums::111917::01,google_developer_forums,report_delivery_ui,mixed_evidence_slice,evidence_producing,True,False,ambiguous_review_bucket,False,likely persona_01/persona_04,"Google mixed row points to reporting delivery, data mismatch, or dashboard behavior with clear business-use impact.","Pass Dashboard filters from one to another dashboard using link Hi, I am trying to pass my dashboard filters from parent to child and I am not sure what i am doing wrong but i cant get the filters right Here is the link I am using link: { label: “Drill Dashboard” url: ‘’/dasbo..."
google_developer_forums::188534::01,google_developer_forums,report_delivery_ui,mixed_evidence_slice,mixed_keep,True,False,ambiguous_review_bucket,False,persona_01/persona_04 adjacent,Google row stays mixed because it is report-delivery/UI oriented but not cleanly strong evidence or clean debt.,"Looker Studio Reports Download Issues Hi there, I was wondering if anyone else has an issue when dowloading their reports on Looker Studio? The issue I run into is that when I download the report, the tab you select which client data you want the report to be on is blank leadi..."
google_developer_forums::114315::01,google_developer_forums,report_delivery_ui,mixed_evidence_slice,mixed_keep,True,False,ambiguous_review_bucket,False,persona_01/persona_04 adjacent,Google row stays mixed because it is report-delivery/UI oriented but not cleanly strong evidence or clean debt.,Am I able to move the filters to a different area? So this is my first time using looker for a client and their style guide has a sidebar that has the filters on it. We’d like to keep using looker and avoid creating a SPA so is there anyway that I can add these dashboard… So t...
google_developer_forums::112927::01,google_developer_forums,report_delivery_ui,mixed_evidence_slice,evidence_producing,True,False,persona_core_evidence,True,likely persona_01/persona_04,"Google mixed row points to reporting delivery, data mismatch, or dashboard behavior with clear business-use impact.","Dashboard Section Tile / Div Equivalent? Hi all! Still relatively green in the Looker space, but as I’ve been working in Looker, I’ve realized I might be missing (or there might be an opportunity for) a really simple quality of life improvement in the dashboard editor. I’ve be..."
google_developer_forums::115997::01,google_developer_forums,report_delivery_ui,mixed_evidence_slice,evidence_producing,True,False,ambiguous_review_bucket,False,likely persona_01/persona_04,"Google mixed row points to reporting delivery, data mismatch, or dashboard behavior with clear business-use impact.","SQL Runner and Explore return different visualization I want to add “funnel” visualization to my dashboard. I tested the query and visualization under SQL Runner environment, but as I attempted to add this to my dashboard(or explore environment), the visualization here seem… I..."
google_developer_forums::175058::01,google_developer_forums,report_delivery_ui,mixed_evidence_slice,debt_producing,True,True,api_sdk_debug_noise,False,unlikely,Google mixed row is mostly auth/API/server/formula troubleshooting rather than durable reporting evidence.,LookerEmbedSDK I’m trying to embed a dashboard using lookerEmbedSDK in my react App. I want to retrieve the dashboard so I can add parameters and filters based on certain user actions. The thing is on dashboard loaded is not being triggered I don’t know. tHe dashboard is being...
google_developer_forums::149434::01,google_developer_forums,report_delivery_ui,mixed_evidence_slice,ambiguous_review_needed,True,True,persona_core_evidence,True,possible persona_01/persona_04,Google row mixes delivery/reporting pain with technical setup or query behavior and needs finer sub-slice rules.,GSC Data Exports: BigQuery Connector vs. GSC API Hi all & @ms4446 who likely can help here I recently compared a data export from the GSC API to the data exported via the direct BigQuery connector and saw discrepancies. I was wondering if this is due to the same reasons descri...
