source,repo,raw_id,url,title,body_or_excerpt,category,labels,author,created_at,updated_at,comment_count,comment_excerpt,fetch_status,fetch_method,fetched_at,dashboard_reporting_pain,metric_definition_confusion,semantic_layer_or_model_confusion_tied_to_reporting,stakeholder_reporting_need,export_or_spreadsheet_workaround,data_trust_or_reconciliation_issue,workflow_limitation_in_bi_reporting_tool,root_cause_or_explanation_handoff,install_deploy_debug_noise,auth_permission_setup_noise,generic_feature_request_without_user_pain,api_library_coding_issue,ci_cd_infrastructure_issue,beginner_tutorial_help,release_announcement,maintainer_internal_discussion_without_user_pain,persona_01_fit,persona_02_fit,persona_03_fit,persona_04_fit,persona_05_fit
github_discussions_lightdash_single_repo_pilot,lightdash/lightdash,1097,https://github.com/lightdash/lightdash/discussions/1097,Welcome to the community! ⚡️ · lightdash/lightdash · Discussion #1097 · GitHub,"Hey everyone 👋 Welcome to the Lightdash Community! If you want to get your questions answered even faster, join our open Slack Community . Here, you can find out about how other folks are using Lightdash, general chat about data, and updates on what we're up to at Lightdash. We have a couple of different discussion types, this is what you'll find in each of them: ⚡ Blog : Blog posts written by the Lightdash team + community 💬 General : Chat about anything and everything here 💡 Ideas : Share ideas for new features ❓ Q&A : Ask the community for help 📣 Round-Ups : Bi-weekly updates on the Lightdash product + team 🙌 Show and tell : show off something you've made New to the discussion? Introduce yourself here ! Happy posting! 😊",General,,TuringLovesDeathMetal,2022-01-05T16:19:27Z,2022-01-05T16:19:27Z,0,,ok,public_html,2026-04-26T13:59:50.646550+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,weak,weak,weak,weak,weak
github_discussions_lightdash_single_repo_pilot,lightdash/lightdash,22153,https://github.com/lightdash/lightdash/discussions/22153,dbt refresh is too slow · lightdash/lightdash · Discussion #22153 · GitHub,"In our project, using dbt compile is very fast, taking about 5 minutes. However, clicking ""refresh dbt"" in Lightdash is very time-consuming, normally requiring around 40 minutes. Does anyone know why this is? textPayload: ""2026-04-21 12:56:23 [Lightdash][fa5c05e9227feb9d1b130f86fff35f8d][Job:2071] �[32minfo�[39m: �[32mdbt ls completed in 2007509ms, found 341 model(s)�[39m""",Q&A,,wenzhao823,2026-04-21T13:12:14Z,2026-04-21T13:12:14Z,0,,ok,public_html,2026-04-26T13:59:50.646550+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,weak,weak,weak,weak,weak
github_discussions_lightdash_single_repo_pilot,lightdash/lightdash,1098,https://github.com/lightdash/lightdash/discussions/1098,Introduce yourself 👋 · lightdash/lightdash · Discussion #1098 · GitHub,"Hi! 👋 If you're new to the Lightdash community, welcome 😊 I’m Katie, one of the cofounders of Lightdash. Feel free to send me a message if there’s anything I can help you with! Here's a little bit about me: I'm from Canada, but right now, I'm living out my best work-life balance in the mountains of Chamonix. I love everything product data, a good dad joke , and I'm a sucker for amazing data visualizations (my favourite book is Information is Beautiful - yes, I'm that predictable). Now it’s your turn :slight_smile: Tell us a little bit about yourself, and what you’re into.",General,,TuringLovesDeathMetal,2022-01-05T16:30:57Z,2026-03-10T05:40:51Z,3,"Hey @TuringLovesDeathMetal and Lightdash community! I'm Pat, and I'm a data engineer at Meltano which is an open source project thats focused on integrating data tooling to work better together and to enable teams to implement DataOps best practices (i.e. version control, CICD, code reviews,etc.) across their whole data stack. I'm helping test out new features and explore new plugins for us to add. I also maintain our own Meltano implementation that fuels our internal reporting and acts as an example projects for others to reference. I'm really excited about Lightdash and where its headed! Theres already been some great work towards using it with Meltano and I'm hoping to keep pushing that forward to help make it even better. Right now I'm very interested in this issue and I'm excited to j || Excited to have you here @pnadolny13 ! All of you folks at Meltano are so friendly, it's lovely 😊 Also very happy to hear that you're interested in #369 - we'll be chatting to some people next week to hear a bit about their minimum requirements and nirvana state so I might give you a shout! Would love to hear what you're thinking || Hi everyone! 👋 I am Durgesh, a full stack developer from India with a React and Node.js background. I recently came across Lightdash and I am really impressed by what the team is building. I want to make my first open source contribution to Lightdash. I have built and deployed joincodershub.com completely on my own using React, Redux Toolkit, Node.js, Express and MongoDB on AWS EC2 with real time chat, payment integration and email automation. It has received 35,660+ requests in 30 days with traffic from 5 countries. Looking forward to contributing and learning from this community. Any guidance on good open-contribution issues for someone with a React and Node.js background would be really appreciated! GitHub: github.com/durgeshhhhhhhh Live: joincodershub.com",ok,public_html,2026-04-26T13:59:50.646550+00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,medium,weak,weak,weak,weak
github_discussions_lightdash_single_repo_pilot,lightdash/lightdash,1175,https://github.com/lightdash/lightdash/discussions/1175,Chart types that you'd like to see in Lightdash · lightdash/lightdash · Discussion #1175 · GitHub,"Charts are a pretty important part of Lightdash, and we know we're missing a few chart types in the app. We'd love to hear it from you: what chart type would you like to see added to Lightdash? 📈 (Be sure to check the comments below and upvote if someone has already added your chart type!)",Ideas,,TuringLovesDeathMetal,2022-01-19T14:15:01Z,2026-02-26T18:17:57Z,43,"""Big Number"" type visualization (already a ticket for this here ) || Similarly, a gauge chart would be nice to have. Not crucial. Just nice to have. || oooh! I've never actually used a gauge chart before - love it. It's like being in Formula 1, but actually you're in an exec meeting talking about ARR, CTR, WAUs and any other fun acronyms you can think of 🙂 || V1 of this is complete! #1264 || I love this type of chart with a % change from previous period. I also wish I could choose which column you take the number from - it seems like table calculations don't work even if I move them to come first. || @risafangs totally. We have an open issue for that, actually: #1520 We're working on some chart configurations in the next two weeks, so I'll make sure to add it to the backlog :) || Table (already a ticket for this here ) || V1 of this is complete! #430 || Pie chart",ok,public_html,2026-04-26T13:59:50.646550+00:00,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,medium,weak,weak,weak,weak
github_discussions_lightdash_single_repo_pilot,lightdash/lightdash,1112,https://github.com/lightdash/lightdash/discussions/1112,Vote for Lightdash to support your favourite warehouse · lightdash/lightdash · Discussion #1112 · GitHub,Hey all! If Lightdash doesn't support your favourite database / data warehouse you can vote for it here. How to vote : search the comments for the database name and vote on the comment. If the comment doesn't exist add a new one.,Ideas,,owlas,2022-01-10T13:59:15Z,2025-11-28T14:59:00Z,20,"Rockset || AWS Athena || I can't see many people wanting to use this as a DWH it's more or less defunct at Lyst now. Everyone who uses it hates it. || Athena was a community vote I've migrated here from issues. Instead of a thumbs down we can prioritise based on those with the most upvotes, if this sees little love then it won't be built soon! || Firebolt || Clickhouse || Why ask for the users most favorite warehouses and not building native support for the most liked? :) @jpetey75 || Hey @adri have you tried connecting to Clickhouse via Trino? || Hey @12ian34 thanks, but for our use-case, hosting Trino is quite complex just to be able to connect Ligthdash. Managed services we found were also quite pricey. Good to know or others: If you're a paying customer, it can be worth to reach out to Ligthdash customer support. I wasn't aware, but it can make a difference in prioritizing (make sense, but I didn't realize it first). || Update for folks - we've just opened a PR to add Clickhouse support #16988",ok,public_html,2026-04-26T13:59:50.646550+00:00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,weak,weak,medium,weak,medium
github_discussions_lightdash_single_repo_pilot,lightdash/lightdash,16179,https://github.com/lightdash/lightdash/discussions/16179,Enhancement Suggestion: Add ‘Copy Tab’ and ‘Copy to Another Tab’ Functionality · lightdash/lightdash · Discussion #16179 · GitHub,"Hi everyone 👋 I’ve been contributing to Lightdash over the past few days and exploring different parts of the application. While working on some issues related to tabs, I realized it might be really useful to have functionality for copying entire tabs , including the content within them (like charts, tables, etc.), and also just the specific content as well, if needed. Currently, we have options like Move to another tab for content within tab, but I think it would be helpful to also support actions like Copy to another tab or Duplicate tab for tabs. This could allow users to quickly transfer or reuse content from one tab to another without going through the repetitive process of manually adding charts and tables again. In some cases, users might even want to duplicate the entire tab layout to start from an existing context instead of building everything from scratch. PS: I checked the existing issues but couldn't find anything related to this, apologies if I missed something or if this has already been discussed before! Would love to hear your thoughts on this!",Ideas,,Abhijay007,2025-08-03T15:25:13Z,2025-08-04T14:42:57Z,2,"Hi @Abhijay007 thanks for opening this. We have this existing issue for duplicating tabs which is similar but not exactly the same. || Hi @jesshitchcock , I’ve opened this PR: #16198 to address the issue here: #14308 . While working on it, I thought it might also be useful to have the ability to copy specific content from a tab and paste it into another tab (as mentioned in the discussion above as well), wherever the user wants it in the tab. I'm not entirely sure if this would be a valuable feature, but it feels somewhat relevant. Have you received any user requests for something like this? Or could you possibly discuss it with the team to see if it's something we might want to consider?",ok,public_html,2026-04-26T13:59:50.646550+00:00,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,medium,weak,weak,weak,medium
github_discussions_lightdash_single_repo_pilot,lightdash/lightdash,14367,https://github.com/lightdash/lightdash/discussions/14367,Knex: Timeout acquiring a connection. The pool is probably full. Are you missing a .transacting(trx) call? · lightdash/lightdash · Discussion #14367 · GitHub,"Hey, I'm running the lightdash container in azure linux vm. I didn't have this issue last year when hosting it in docker. Recently I turned it up again, using lightdash's latest image with the same database and I keep getting the error below: (/usr/app/node_modules/.pnpm/knex@2.5.1_pg@8.13.1/node_modules/knex/bin/cli.js:250:32) lightdash-1 | ERR_PNPM_RECURSIVE_RUN_FIRST_FAIL backend@0.1566.2 migrate-production: `knex migrate:latest --knexfile dist/knexfile.js""> lightdash-1 | Knex: Timeout acquiring a connection. The pool is probably full. Are you missing a .transacting(trx) call? lightdash-1 | KnexTimeoutError: Knex: Timeout acquiring a connection. The pool is probably full. Are you missing a .transacting(trx) call? lightdash-1 | at Client_PG.acquireConnection (/usr/app/node_modules/.pnpm/knex@2.5.1_pg@8.13.1/node_modules/knex/lib/client.js:332:26) lightdash-1 | at async Runner.ensureConnection (/usr/app/node_modules/.pnpm/knex@2.5.1_pg@8.13.1/node_modules/knex/lib/execution/runner.js:305:28) lightdash-1 | at async Runner.run (/usr/app/node_modules/.pnpm/knex@2.5.1_pg@8.13.1/node_modules/knex/lib/execution/runner.js:30:19) lightdash-1 | at async listCompleted (/usr/app/node_modules/.pnpm/knex@2.5.1_pg@8.13.1/node_modules/knex/lib/migrations/migrate/migration-list-resolver.js:12:3) lightdash-1 | at async Promise.all (index 1) lightdash-1 | at async Migrator.latest (/usr/app/node_modules/.pnpm/knex@2.5.1_pg@8.13.1/node_modules/knex/lib/migrations/migrate/Migrator.js:63:29) lightdash-1 | at async Command. (/usr/app/node_modules/.pnpm/knex@2.5.1_pg@8.13.1/node_modules/knex/bin/cli.js:250:32) lightdash-1 | ERR_PNPM_RECURSIVE_RUN_FIRST_FAIL backend@0.1566.2 migrate-production: `knex migrate:latest --knexfile dist/knexfile.js Anyone else having this issue?",Q&A,,zarabash98,2025-04-11T08:13:46Z,2025-04-11T08:13:46Z,0,,ok,public_html,2026-04-26T13:59:50.646550+00:00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,weak,weak,weak,weak,weak
github_discussions_lightdash_single_repo_pilot,lightdash/lightdash,14092,https://github.com/lightdash/lightdash/discussions/14092,Custom date zoom · lightdash/lightdash · Discussion #14092 · GitHub,"Hi, I have tables that have historical data (like hundreds of years) and I would like the date zoom to go even further than month or year to decade and century, is there a way to add additional date zooms? I tried a different approach of having a dynamic dimension that changes it's date granularity depending on the selected date range, but that also turned out to be a dead end, since for now there is no access to the selected filter's values within the custom dimension calculation. any ideas how to achieve something like that? Thanks in advance! Yotam",Q&A,,yotamabt,2025-03-16T07:57:52Z,2025-03-16T07:57:52Z,0,,ok,public_html,2026-04-26T13:59:50.646550+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,weak,weak,weak,weak,weak
github_discussions_lightdash_single_repo_pilot,lightdash/lightdash,13992,https://github.com/lightdash/lightdash/discussions/13992,Stop all data collection by Lightdash company (https://www.lightdash.com/) · lightdash/lightdash · Discussion #13992 · GitHub,"Hi, I have a self-hosted instance of lightdash with docker.io/lightdash/lightdash:latest . I have not created an account on the lightdash cloud service: https://www.lightdash.com/ However, when I created an account on lightdash (self-hosted instance), I received a welcome email, not from my server but a lightdash.com email. The instance remained dormant for a while but today I started populating data to it and got this creepy mail: So, you folks know exactly when I create a dbt project? Now I am concerned how much access does lightdash have and what all data is collected. Do you folks have access to my private databases? Do you folks have access to my IP address? Do you folks have access to my self-hosted instance's password? Do you folks have access to my configuration in docker.env file? (including but not limited to LIGHTDASH_SECRET , SMTP configurations etc?) Did I misconfigure something or is this the default level of data collection? How can I opt out-of any and all telemetry & data collection by any organization (directly or indirectly associated with lightdash)? Please don't share a link to your privacy policy, I am a software developer not a legal expert, I can be easily fooled with T&Cs buried in those pages. I am just looking to understand if the above data or any personally identifiable data is collected from self-hosted instances as well. Nothing personal. It's just creepy af.",Q&A,,atb00ker,2025-03-09T09:49:03Z,2025-03-11T10:16:40Z,2,"Hey @atb00ker - when you sign up for a Lightdash account (self-hosted or Cloud), you're prompted on whether you want to receive Lightdash update emails - this is an opt-in option, if you opt-out, then you don't receive any emails. We don't have any access to any sensitive information from your account, we receive anonymised telemetry if it's not deactivated in the self-hosted instance - you can set the variable RUDDERSTACK_ANALYTICS_DISABLED to True in your environment variables to switch this off. https://docs.lightdash.com/self-host/customize-deployment/environment-variables || Thanks a lot!",ok,public_html,2026-04-26T13:59:50.646550+00:00,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,weak,weak,weak,weak,weak
github_discussions_lightdash_single_repo_pilot,lightdash/lightdash,13631,https://github.com/lightdash/lightdash/discussions/13631,I can't query using SQL Runner · lightdash/lightdash · Discussion #13631 · GitHub,"Hello All, I run docker compose in server to run lightdash. It already connect to my posgre and bigquery. In the beginning I can do SQL Runner, but another user (Developer) can't run any query as well.. its always ""Could not fetch SQL query results"" Then, I create one chart using SQL Runner,. somehow the another user can see and edit the query. But after a while the server got down and there was this error: no such file or directory, open 'tmp/xxx.jsonml It seems the another user is creating new chart using SQL runner. -- When we try to restart the service, it got same error and got down because of same problem. Now, I try to run locally, I can't reproduce the error and additionally I can't query using SQL runner anymore.. Could not fetch SQL query results any solution for this? I want to discuss, because maybe my service is not set properly.",Q&A,,alamhanz,2025-02-12T08:09:59Z,2025-02-12T08:09:59Z,0,,ok,public_html,2026-04-26T13:59:50.646550+00:00,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,medium,weak,medium,weak,medium
