episode_id,source,source_tier,refined_source_slice_name,refined_source_slice_category,reviewed_slice_category,business_context_present,technical_support_context_present,should_count_in_quality_adjusted_balance,should_count_against_slice_aware_weak_debt,denominator_eligibility_category,persona_core_eligible,likely_persona_contribution,reviewer_reason,text_excerpt
google_developer_forums::176233::01,google_developer_forums,supporting_validation_source,google_delivery_mismatch_missing_data,mixed_evidence_slice,evidence_producing_slice,True,False,True,False,ambiguous_review_bucket,False,non_core_or_unknown,Delivery or missing-data issue is clearly tied to business reporting output.,"Dashboard looks different by user/editor The person who started the dashboard sees the first two pages they built fine. However, the three subsequent pages developed by the second person come out strange (e.g., graphs are bigger or smaller, everything overlaps, text sizes are..."
google_developer_forums::114570::01,google_developer_forums,supporting_validation_source,google_delivery_mismatch_missing_data,evidence_producing_slice,evidence_producing_slice,True,False,True,False,persona_core_evidence,True,persona_core,Delivery or missing-data issue is clearly tied to business reporting output.,"Drill down data is different from visualization Hi, I have 2 tiles in my dashboard. Both have filters in them in addition to the dashboard’s filters. One is displaying orders volume by date. The other is displaying deliveries volume by date. Both have drill down functionality..."
google_developer_forums::112552::01,google_developer_forums,supporting_validation_source,google_delivery_mismatch_missing_data,mixed_evidence_slice,evidence_producing_slice,True,False,True,False,ambiguous_review_bucket,False,non_core_or_unknown,Delivery or missing-data issue is clearly tied to business reporting output.,Different value when in dashboard and in edit mode I am having a look which gives different values when in edit mode and when in dashboard means in while exploring the values are correct but when i add it to a dashboard one of the values somehow changed. i tried to clea… I am...
google_developer_forums::165728::01,google_developer_forums,supporting_validation_source,google_delivery_mismatch_missing_data,mixed_evidence_slice,evidence_producing_slice,True,False,True,False,ambiguous_review_bucket,False,non_core_or_unknown,Delivery or missing-data issue is clearly tied to business reporting output.,"Wrong report preview Hi, I send my clients a report with Analytics data every month. Looker Studio automatically emails me the report as well, but the email preview always shows the same report, even though the attachment is correct and up-t… Hi, I send my clients a report wit..."
google_developer_forums::114450::01,google_developer_forums,supporting_validation_source,google_delivery_mismatch_missing_data,mixed_evidence_slice,evidence_producing_slice,True,False,True,False,ambiguous_review_bucket,False,non_core_or_unknown,Delivery or missing-data issue is clearly tied to business reporting output.,"Add new columns to a drill down Hello, I have the following view that I added on a dashboard: When I click on the 671 I see the following data: I would like to add 4 new columns (some from the same table and others from a different table. How I can… Hello, I have the following..."
google_developer_forums::162920::01,google_developer_forums,supporting_validation_source,google_delivery_mismatch_missing_data,mixed_evidence_slice,evidence_producing_slice,True,False,True,False,ambiguous_review_bucket,False,non_core_or_unknown,Delivery or missing-data issue is clearly tied to business reporting output.,"Issue with Scheduled Report in Looker Studio Hi Team, I noticed an issue with the scheduling of our report. It was set to go out on the 31st of July at 23:30, but it was sent on the 30th at a random time. Could you please let me know what happened? Thank you! Hi Team, I notice..."
google_developer_forums::270363::01,google_developer_forums,supporting_validation_source,google_delivery_mismatch_missing_data,mixed_evidence_slice,evidence_producing_slice,True,False,True,False,ambiguous_review_bucket,False,non_core_or_unknown,Delivery or missing-data issue is clearly tied to business reporting output.,"Bug - Looker Studio link not working for new users Hi, We have been sharing a report made in Looker Studio since July. Recently, we have realized that only people who have previously accessed the report can see it, new users get an error instead of seeing all the dynami… Hi, W..."
google_developer_forums::180333::01,google_developer_forums,supporting_validation_source,google_delivery_mismatch_missing_data,mixed_evidence_slice,evidence_producing_slice,True,False,True,False,ambiguous_review_bucket,False,non_core_or_unknown,Delivery or missing-data issue is clearly tied to business reporting output.,"A dashboard have gone overnight There was a dashboard that actively serves my company and it disappeared all of sudden. It’s not even in Trash. Please help me restore it. I have its URL which I can provide. Update: Just found that it’s not just one dashboard, but 3 different d..."
google_developer_forums::113849::01,google_developer_forums,supporting_validation_source,google_delivery_mismatch_missing_data,mixed_evidence_slice,evidence_producing_slice,True,False,True,False,ambiguous_review_bucket,False,non_core_or_unknown,Delivery or missing-data issue is clearly tied to business reporting output.,"Schedule Delivery not working Hello, I’m using schedule deliveries to send looks and dashboards to Slack. Some of the times, instead of receiving the Slack delivery, I receive an email with the message “ERROR: prepared statement “S_2” already exis… Hello, I’m using schedule de..."
google_developer_forums::180029::01,google_developer_forums,supporting_validation_source,google_delivery_mismatch_missing_data,evidence_producing_slice,evidence_producing_slice,True,False,True,False,persona_core_evidence,True,persona_core,Delivery or missing-data issue is clearly tied to business reporting output.,"Create table with two custom timezone selection Hello There, I would like to inquire about a specific challenge we are facing while building a dashboard in Google Looker Studio. We are attempting to create a dashboard that allows users to select two different custom timezones...."
